United States (USD),China (CNY),Hong Kong (HKD),Taiwan (TWD),Singapore (SGD),Malaysia (MYR),Philippines (PHP),Australia (AUD),Germany (EUR),Japan (JPY),Canada (CAD),Brazil (BRL),Thailand (THB),Vietnam (VND),Portugal (EUR),Honduras (USD),Paraguay (USD),Croatia (HRK),Hungary (HUF),Qatar (QAR),Indonesia (IDR),Ireland (EUR),Israel (ILS),United Arab Emirates (AED),India (INR),Afghanistan (USD),South Africa (ZAR),Iraq (USD),Iceland (USD),Albania (USD),Italy (EUR),Armenia (USD),Argentina (USD),Austria (EUR),Zambia (USD),Romania (RON),Bosnia and Herzegovina (EUR),Barbados (USD),Serbia (EUR),Russia (RUB),Belgium (EUR),Bulgaria (BGN),Rwanda (USD),Bahrain (USD),Bolivia (USD),Saudi Arabia (SAR),Sweden (SEK),Slovenia (EUR),Belarus (USD),Slovakia (EUR),"Congo, Democratic Republic of (USD)",El Salvador (USD),Switzerland (CHF),Cote D'Ivoire (USD),South Korea (KRW),Chile (CLP),Cameroon (USD),China (CNY),Colombia (COP),Costa Rica (USD),Kazakhstan (KZT),Cyprus (EUR),Czech Republic (CZK),Tonga (USD),Turkey (TRY),Tanzania (TZS),Denmark (DKK),Lithuania (EUR),Luxembourg (EUR),Latvia (EUR),Dominican Republic (USD),Ukraine (USD),Libya (USD),Morocco (USD),Moldova (USD),Montenegro (EUR),Ecuador (USD),Estonia (EUR),Myanmar (USD),Egypt (EGP),Uruguay (USD),Uzbekistan (USD),Malta (EUR),Maldives (USD),Mexico (MXN),Spain (EUR),Nigeria (NGN),Nicaragua (USD),Netherlands (EUR),Vanuatu (USD),Norway (NOK),Finland (EUR),Nauru (USD),France (EUR),New Zealand (NZD),Gabon (USD),United Kingdom (GBP),Georgia (USD),Greece (EUR),Guatemala (USD),Panama (USD),Kosovo (EUR),Peru (PEN),Pakistan (PKR),Poland (PLN)
0.99,6,8,33,1.48,3.9,49,1.49,1.09,120,1.39,3.9,29,22000,1.09,0.99,0.99,8.99,349,3.69,15000,1.09,3.5,3.69,79,0.99,14.99,0.99,1.23,1.19,1.09,1.19,0.99,1.09,0.99,4.99,1.09,1.19,1.09,75,1.09,1.99,0.99,0.99,0.99,3.69,12,1.09,1.19,1.09,0.99,0.99,1,0.99,1200,690,0.99,6,3900,0.99,399,1.09,25,0.99,6.99,2200,9,1.09,1.09,1.09,0.99,0.99,0.99,0.99,1.19,0.89,0.99,1.09,0.99,16.99,0.99,1.19,1.09,0.99,19,1.09,350,0.99,1.09,0.99,11,1.09,0.99,1.09,1.69,0.99,0.99,0.99,1.09,0.99,0.99,1.09,3.5,150,4.99
1.99,12,15,70,2.98,7.9,99,2.99,2.29,250,2.79,7.9,59,45000,2.29,1.99,1.99,16.99,699,7.29,29000,2.29,6.9,7.29,159,1.99,29.99,1.99,2.47,2.39,2.29,2.49,1.99,2.29,1.99,9.99,2.29,2.49,2.29,149,2.29,4.49,1.99,1.99,1.99,7.29,25,2.29,2.49,2.29,1.99,1.99,2,1.99,2500,1300,1.99,12,7900,1.99,799,2.29,49,1.99,12.99,4500,17,2.29,2.29,2.29,1.99,1.99,1.99,1.99,2.49,1.79,1.99,2.29,1.99,32.99,1.99,2.49,2.29,1.99,39,2.29,700,1.99,2.29,1.99,22,2.29,1.99,2.29,3.49,1.99,1.99,1.99,2.29,1.99,1.99,2.29,6.9,300,8.99
2.99,18,23,100,4.48,12.9,149,4.49,3.49,370,3.99,10.9,89,69000,3.49,2.99,2.99,24.99,1090,10.99,45000,3.49,10.9,10.99,249,2.99,49.99,2.99,3.71,3.59,3.49,3.49,2.99,3.49,2.99,14.99,3.49,3.49,3.49,229,3.49,6.49,2.99,2.99,2.99,10.99,35,3.49,3.49,3.49,2.99,2.99,3,2.99,3900,1900,2.99,18,10900,2.99,1190,3.49,79,2.99,19.99,6500,25,3.49,3.49,3.49,2.99,2.99,2.99,2.99,3.49,2.79,2.99,3.49,2.99,49.99,2.99,3.49,3.49,2.99,59,3.49,1100,2.99,3.49,2.99,33,3.49,2.99,3.49,4.99,2.99,2.99,2.99,3.49,2.99,2.99,3.49,9.9,450,13.99
3.99,25,28,130,5.98,16.9,199,5.99,4.49,490,5.49,14.9,119,89000,4.49,3.99,3.99,34.99,1490,14.99,59000,4.49,13.9,14.99,299,3.99,59.99,3.99,4.95,4.79,4.49,4.99,3.99,4.49,3.99,19.99,4.49,4.99,4.49,299,4.49,8.49,3.99,3.99,3.99,14.99,50,4.49,4.99,4.49,3.99,3.99,4,3.99,4900,2500,3.99,25,14900,3.99,1590,4.49,99,3.99,26.99,8900,35,4.49,4.49,4.49,3.99,3.99,3.99,3.99,4.99,3.49,3.99,4.49,3.99,64.99,3.99,4.99,4.49,3.99,79,4.49,1400,3.99,4.49,3.99,44,4.49,3.99,4.49,6.99,3.99,3.99,3.99,4.49,3.99,3.99,4.49,12.9,600,18.99
4.99,30,38,170,6.98,19.9,249,7.99,5.49,610,6.99,18.9,149,109000,5.49,4.99,4.99,42.99,1790,17.99,75000,5.49,17.9,17.99,399,4.99,79.99,4.99,6.19,5.99,5.49,5.99,4.99,5.49,4.99,24.99,5.49,5.99,5.49,379,5.49,10.99,4.99,4.99,4.99,17.99,59,5.49,5.99,5.49,4.99,4.99,5,4.99,5900,3500,4.99,30,18900,4.99,1990,5.49,129,4.99,34.99,10900,45,5.49,5.49,5.49,4.99,4.99,4.99,4.99,5.99,4.49,4.99,5.49,4.99,79.99,4.99,5.99,5.49,4.99,99,5.49,1800,4.99,5.49,4.99,55,5.49,4.99,5.49,8.99,4.99,4.99,4.99,5.49,4.99,4.99,5.49,16.9,750,23.99
5.99,40,48,190,8.98,24.9,299,9.99,6.99,730,8.49,22.9,179,129000,6.99,5.99,5.99,49.99,2290,20.99,89000,6.99,19.9,20.99,499,5.99,99.99,5.99,7.43,7.19,6.99,6.99,5.99,6.99,5.99,29.99,6.99,6.99,6.99,459,6.99,12.99,5.99,5.99,5.99,20.99,69,6.99,6.99,6.99,5.99,5.99,6,5.99,7500,3900,5.99,40,22900,5.99,2290,6.99,149,5.99,39.99,12900,49,6.99,6.99,6.99,5.99,5.99,5.99,5.99,6.99,5.49,5.99,6.99,5.99,99.99,5.99,6.99,6.99,5.99,109,6.99,2200,5.99,6.99,5.99,65,6.99,5.99,6.99,9.99,5.99,5.99,5.99,6.99,5.99,5.99,6.99,19.9,900,27.99
6.99,45,53,230,9.98,29.9,349,10.99,7.99,860,9.99,24.9,199,149000,7.99,6.99,6.99,59.99,2490,24.99,99000,7.99,25.9,24.99,549,6.99,109.99,6.99,8.67,8.39,7.99,7.99,6.99,7.99,6.99,34.99,7.99,7.99,7.99,529,7.99,14.99,6.99,6.99,6.99,24.99,85,7.99,7.99,7.99,6.99,6.99,7,6.99,8900,4500,6.99,45,25900,6.99,2490,7.99,179,6.99,49.99,14900,59,7.99,7.99,7.99,6.99,6.99,6.99,6.99,7.99,6.49,6.99,7.99,6.99,119.99,6.99,7.99,7.99,6.99,129,7.99,2500,6.99,7.99,6.99,75,7.99,6.99,7.99,11.99,6.99,6.99,6.99,7.99,6.99,6.99,7.99,22.9,1100,32.99
7.99,50,58,270,10.98,34.9,399,12.99,8.99,980,10.99,29.9,249,179000,8.99,7.99,7.99,69.99,2990,29.99,119000,8.99,29.9,29.99,599,7.99,129.99,7.99,9.91,9.59,8.99,9.99,7.99,8.99,7.99,39.99,8.99,9.99,8.99,599,8.99,17.99,7.99,7.99,7.99,29.99,99,8.99,9.99,8.99,7.99,7.99,8,7.99,9900,5500,7.99,50,29900,7.99,2990,8.99,199,7.99,54.99,17900,69,8.99,8.99,8.99,7.99,7.99,7.99,7.99,9.99,7.49,7.99,8.99,7.99,129.99,7.99,9.99,8.99,7.99,149,8.99,2900,7.99,8.99,7.99,85,8.99,7.99,8.99,13.99,7.99,7.99,7.99,8.99,7.99,7.99,8.99,24.9,1200,37.99
8.99,60,68,290,12.98,37.9,449,13.99,9.99,1100,11.99,34.9,279,199000,9.99,8.99,8.99,79.99,3290,32.99,129000,9.99,31.9,32.99,699,8.99,139.99,8.99,11.15,10.79,9.99,10.99,8.99,9.99,8.99,44.99,9.99,10.99,9.99,699,9.99,19.99,8.99,8.99,8.99,32.99,109,9.99,10.99,9.99,8.99,8.99,9,8.99,11000,5900,8.99,60,32900,8.99,3490,9.99,229,8.99,59.99,19900,79,9.99,9.99,9.99,8.99,8.99,8.99,8.99,10.99,7.99,8.99,9.99,8.99,149.99,8.99,10.99,9.99,8.99,179,9.99,3200,8.99,9.99,8.99,99,9.99,8.99,9.99,14.99,8.99,8.99,8.99,9.99,8.99,8.99,9.99,29.9,1400,42.99
9.99,68,78,330,14.98,39.9,499,14.99,10.99,1220,13.99,37.9,299,219000,10.99,9.99,9.99,89.99,3490,36.99,149000,10.99,35.9,36.99,799,9.99,149.99,9.99,12.39,11.99,10.99,11.99,9.99,10.99,9.99,49.99,10.99,11.99,10.99,749,10.99,21.99,9.99,9.99,9.99,36.99,119,10.99,11.99,10.99,9.99,9.99,10,9.99,12000,6500,9.99,68,37900,9.99,3990,10.99,249,9.99,69.99,21900,89,10.99,10.99,10.99,9.99,9.99,9.99,9.99,11.99,8.99,9.99,10.99,9.99,169.99,9.99,11.99,10.99,9.99,199,10.99,3500,9.99,10.99,9.99,109,10.99,9.99,10.99,16.99,9.99,9.99,9.99,10.99,9.99,9.99,10.99,32.9,1500,47.99
10.99,73,83,370,15.98,44.9,549,16.99,11.99,1340,14.99,39.9,329,229000,11.99,10.99,10.99,94.99,3990,39.99,159000,11.99,39.9,39.99,849,10.99,169.99,10.99,13.63,13.19,11.99,12.99,10.99,11.99,10.99,54.99,11.99,12.99,11.99,849,11.99,22.99,10.99,10.99,10.99,39.99,129,11.99,12.99,11.99,10.99,10.99,11,10.99,14000,7500,10.99,73,39900,10.99,4290,11.99,279,10.99,74.99,22900,95,11.99,11.99,11.99,10.99,10.99,10.99,10.99,12.99,9.99,10.99,11.99,10.99,179.99,10.99,12.99,11.99,10.99,209,11.99,3900,10.99,11.99,10.99,119,11.99,10.99,11.99,18.99,10.99,10.99,10.99,11.99,10.99,10.99,11.99,34.9,1700,52.99
